District,Winner,Winner votes (%),Runner-up,Runner-up votes (%),Total votes,Margin of victory
Texas' 12th Congressional District,Kay Granger,64.27%,Vanessa Adia,33.89%,"268,491",30.38%
Texas' 11th Congressional District,Mike Conaway,80.14%,Jennie Lou Leeder,18.44%,"220,377",61.70%
Texas' 10th Congressional District,Michael McCaul,51.06%,Mike Siegel,46.79%,"307,827",4.27%
Tennessee's 9th Congressional District,Steve Cohen,79.98%,Charlotte Bergmann,19.23%,"181,476",60.75%
Tennessee's 8th Congressional District,David Kustoff,67.66%,Erika Stotts Pearson,30.10%,"248,345",37.56%
Tennessee's 7th Congressional District,Mark Green,66.86%,Justin Kanew,32.10%,"254,384",34.75%
Tennessee's 6th Congressional District,John Rose,69.47%,Dawn Barlow,28.29%,"248,740",41.18%
Tennessee's 5th Congressional District,Jim Cooper,67.85%,Jody Ball,32.15%,"262,248",35.69%
Tennessee's 4th Congressional District,Scott DesJarlais,63.38%,Mariah Phillips,33.58%,"232,451",29.79%
Tennessee's 3rd Congressional District,Charles Fleischmann,63.68%,Danielle Mitchell,34.48%,"245,765",29.21%
Tennessee's 2nd Congressional District,Tim Burchett,65.94%,Renee Hoyos,33.06%,"262,134",32.88%
Tennessee's 1st Congressional District,Phil Roe,77.06%,Marty Olsen,21.02%,"224,282",56.04%
South Dakota at-large,Dusty Johnson,60.33%,Timothy Bjorkman,36.03%,"335,965",24.31%
South Carolina's 7th Congressional District,Tom Rice,59.56%,Robert Williams,40.31%,"239,554",19.25%
South Carolina's 6th Congressional District,James Clyburn,70.13%,Gerhard Gressmann,28.23%,"206,433",41.89%
South Carolina's 5th Congressional District,Ralph Norman,57.03%,Archie Parnell,41.49%,"248,579",15.54%
South Carolina's 4th Congressional District,William Timmons,59.57%,Brandon Brown,36.56%,"243,950",23.01%
South Carolina's 3rd Congressional District,Jeff Duncan,67.79%,Mary Geren,30.97%,"226,204",36.82%
South Carolina's 2nd Congressional District,Joe Wilson,56.25%,Sean Carrigan,42.47%,"257,139",13.78%
South Carolina's 1st Congressional District,Joe Cunningham,50.60%,Katie Arrington,49.22%,"287,433",1.39%
Rhode Island's 2nd Congressional District,Jim Langevin,63.49%,Salvatore Caiozzo,36.28%,"199,197",27.21%
Rhode Island's 1st Congressional District,David Cicilline,66.69%,Patrick Donovan,33.07%,"174,083",33.62%
Pennsylvania's 9th Congressional District,Dan Meuser,59.75%,Denny Wolff,40.25%,"248,927",19.49%
Pennsylvania's 8th Congressional District,Matt Cartwright,54.64%,John Chrin,45.36%,"248,166",9.28%
Pennsylvania's 7th Congressional District,Susan Wild,53.49%,Marty Nothstein,43.47%,"263,261",10.02%
Pennsylvania's 6th Congressional District,Chrissy Houlahan,58.88%,Greg McCauley,41.12%,"301,828",17.75%
Pennsylvania's 5th Congressional District,Mary Gay Scanlon,65.19%,Pearl Kim,34.81%,"304,714",30.38%
Pennsylvania's 4th Congressional District,Madeleine Dean,63.52%,Dan David,36.48%,"332,991",27.04%
Pennsylvania's 3rd Congressional District,Dwight Evans,93.38%,Bryan Leib,6.62%,"307,997",86.76%
Pennsylvania's 2nd Congressional District,Brendan Boyle,79.02%,David Torres,20.98%,"201,982",58.03%
Pennsylvania's 1st Congressional District,Brian Fitzpatrick,51.26%,Scott Wallace,48.74%,"329,798",2.52%
Pennsylvania's 18th Congressional District,Michael Doyle,100.00%,N/A,N/A,"231,472",100.00%
Pennsylvania's 17th Congressional District,Conor Lamb,56.26%,Keith Rothfus,43.74%,"325,579",12.51%
Pennsylvania's 16th Congressional District,Mike Kelly,51.58%,Ronald DiNicola,47.30%,"262,396",4.28%
Pennsylvania's 15th Congressional District,Glenn Thompson,67.84%,Susan Boser,32.16%,"243,572",35.68%
Pennsylvania's 14th Congressional District,Guy Reschenthaler,57.91%,Bibiana Boerio,42.09%,"261,437",15.81%
Pennsylvania's 13th Congressional District,John Joyce,70.49%,Brent Ottaway,29.51%,"253,266",40.98%
Pennsylvania's 12th Congressional District,Tom Marino,66.04%,Marc Friedenberg,33.96%,"243,872",32.08%
Pennsylvania's 11th Congressional District,Lloyd Smucker,58.98%,Jessica King,41.02%,"277,584",17.95%
Pennsylvania's 10th Congressional District,Scott Perry,51.32%,George Scott,48.68%,"291,033",2.64%
Oregon's 5th Congressional District,Kurt Schrader,55.01%,Mark Callahan,41.81%,"358,469",13.20%
Oregon's 4th Congressional District,Peter DeFazio,55.97%,Art Robinson,40.87%,"372,893",15.10%
Oregon's 3rd Congressional District,Earl Blumenauer,72.60%,Tom Harrison,19.82%,"384,326",52.78%
Oregon's 2nd Congressional District,Greg Walden,56.30%,Jamie McLeod-Skinner,39.41%,"368,709",16.90%
Oregon's 1st Congressional District,Suzanne Bonamici,63.65%,John Verbeek,32.06%,"363,249",31.59%
Oklahoma's 5th Congressional District,Kendra Horn,50.70%,Steve Russell,49.30%,"238,960",1.40%
Oklahoma's 4th Congressional District,Tom Cole,63.06%,Mary Brannon,33.00%,"236,638",30.06%
Oklahoma's 3rd Congressional District,Frank Lucas,73.87%,Frankie Robbins,26.13%,"234,065",47.75%
Oklahoma's 2nd Congressional District,Markwayne Mullin,65.02%,Jason Nichols,30.10%,"216,002",34.92%
Oklahoma's 1st Congressional District,Kevin Hern,59.30%,Tim Gilpin,40.70%,"253,171",18.60%
Ohio's 9th Congressional District,Marcy Kaptur,67.79%,Steven Kraus,32.19%,"231,937",35.59%
Ohio's 8th Congressional District,Warren Davidson,66.58%,Vanessa Enoch,33.42%,"261,133",33.15%
Ohio's 7th Congressional District,Bob Gibbs,58.74%,Ken Harbaugh,41.26%,"260,653",17.49%
Ohio's 6th Congressional District,Bill Johnson,69.25%,Shawna Roberts,30.75%,"249,490",38.50%
Ohio's 5th Congressional District,Bob Latta,62.26%,John Michael Galbraith,35.14%,"283,617",27.12%
Ohio's 4th Congressional District,Jim Jordan,65.26%,Janet Garrett,34.74%,"257,405",30.53%
Ohio's 3rd Congressional District,Joyce Beatty,73.61%,Jim Burgess,26.37%,"246,677",47.24%
Ohio's 2nd Congressional District,Brad Wenstrup,57.55%,Jill Schiller,41.20%,"289,661",16.36%
Ohio's 1st Congressional District,Steve Chabot,51.32%,Aftab Pureval,46.90%,"300,871",4.42%
Ohio's 16th Congressional District,Anthony Gonzalez,56.73%,Susan Moran Palmer,43.27%,"299,710",13.46%
Ohio's 15th Congressional District,Steve Stivers,58.33%,Rick Neal,39.70%,"292,443",18.63%
Ohio's 14th Congressional District,David Joyce,55.25%,Betsy Rader,44.75%,"307,358",10.50%
Ohio's 13th Congressional District,Tim Ryan,60.99%,Christopher DePizzo,39.01%,"251,370",21.99%
Ohio's 12th Congressional District,Troy Balderson,51.42%,Danny O'Connor,47.20%,"341,647",4.22%
Ohio's 11th Congressional District,Marcia Fudge,82.24%,Beverly Goldstein,17.75%,"250,660",64.49%
Ohio's 10th Congressional District,Michael Turner,55.92%,Theresa Gasper,42.16%,"281,726",13.76%
North Dakota at-large,Kelly Armstrong,60.20%,Mac Schneider,35.57%,"321,532",24.63%
North Carolina's 8th Congressional District,Richard Hudson,55.40%,Frank McNeill,44.60%,"253,318",10.81%
North Carolina's 7th Congressional District,David Rouzer,55.63%,Kyle Horton,42.73%,"279,910",12.90%
North Carolina's 6th Congressional District,Mark Walker,56.62%,Ryan Watts,43.38%,"281,974",13.24%
North Carolina's 5th Congressional District,Virginia Foxx,57.20%,Denise Adams,42.80%,"277,002",14.40%
North Carolina's 4th Congressional District,David Price,72.35%,Steve Von Loor,24.08%,"334,495",48.27%
North Carolina's 3rd Congressional District,Walter Jones,100.00%,N/A,N/A,"173,483",100.00%
North Carolina's 2nd Congressional District,George Holding,51.36%,Linda Coleman,45.74%,"327,229",5.62%
North Carolina's 1st Congressional District,G.K. Butterfield,69.77%,Roger Allison,30.23%,"269,534",39.54%
North Carolina's 13th Congressional District,Ted Budd,51.58%,Kathy Manning,45.51%,"282,957",6.08%
North Carolina's 12th Congressional District,Alma Adams,73.04%,Paul Wright,26.96%,"276,867",46.08%
North Carolina's 11th Congressional District,Mark Meadows,59.24%,Phillip Price,38.73%,"299,009",20.52%
North Carolina's 10th Congressional District,Patrick McHenry,59.35%,David Wilson Brown,40.65%,"276,446",18.69%
New York's 9th Congressional District,Yvette Clarke,89.33%,Lutchi Gayot,10.29%,"203,135",79.04%
New York's 8th Congressional District,Hakeem Jeffries,94.24%,Ernest Johnson,5.22%,"191,404",89.02%
New York's 7th Congressional District,Nydia Velazquez,93.37%,Joseph Lieberman,5.52%,"157,097",87.85%
New York's 6th Congressional District,Grace Meng,90.88%,Tom Hillgardner,9.12%,"122,855",81.75%
New York's 5th Congressional District,Gregory Meeks,N/A,N/A,N/A,--,100.00%
New York's 4th Congressional District,Kathleen Rice,61.33%,Ameer Benno,38.67%,"260,106",22.67%
New York's 3rd Congressional District,Tom Suozzi,58.98%,Dan DeBono,41.02%,"266,970",17.96%
New York's 2nd Congressional District,Peter King,53.11%,Liuba Grechen Shirley,46.89%,"241,152",6.22%
New York's 27th Congressional District,Chris Collins,49.14%,Nate McMurray,48.76%,"285,178",0.38%
New York's 26th Congressional District,Brian Higgins,73.34%,Renee Zeno,26.66%,"230,654",46.68%
New York's 25th Congressional District,Joseph Morelle,58.98%,James Maxwell,41.02%,"269,980",17.97%
New York's 24th Congressional District,John Katko,52.63%,Dana Balter,47.37%,"260,146",5.26%
New York's 23rd Congressional District,Tom Reed,54.24%,Tracy Mitrano,45.76%,"240,255",8.49%
New York's 22nd Congressional District,Anthony Brindisi,50.89%,Claudia Tenney,49.11%,"250,957",1.78%
New York's 21st Congressional District,Elise Stefanik,56.11%,Tedra Cobb,42.43%,"235,209",13.69%
New York's 20th Congressional District,Paul Tonko,66.50%,Joe Vitollo,33.50%,"265,869",33.01%
New York's 1st Congressional District,Lee Zeldin,51.49%,Perry Gershon,47.40%,"270,006",4.09%
New York's 19th Congressional District,Antonio Delgado,51.36%,John Faso,46.15%,"287,894",5.21%
New York's 18th Congressional District,Sean Maloney,55.47%,James O'Donnell,44.53%,"251,599",10.94%
New York's 17th Congressional District,Nita Lowey,88.02%,Joseph Ciardullo,11.98%,"193,318",76.05%
New York's 16th Congressional District,Eliot Engel,N/A,N/A,N/A,--,100.00%
New York's 15th Congressional District,Jose Serrano,95.99%,Jason Gonzalez,4.01%,"129,674",91.97%
New York's 14th Congressional District,Alexandria Ocasio-Cortez,78.17%,Anthony Pappas,13.61%,"141,122",64.57%
New York's 13th Congressional District,Adriano Espaillat,94.60%,Jineea Butler,5.40%,"190,303",89.21%
New York's 12th Congressional District,Carolyn Maloney,86.42%,Eliot Rabin,12.10%,"251,604",74.32%
New York's 11th Congressional District,Max Rose,53.02%,Daniel Donovan,46.57%,"192,038",6.45%
New York's 10th Congressional District,Jerrold Nadler,82.15%,Naomi Levin,17.85%,"210,714",64.29%
New Mexico's 3rd Congressional District,Ben Ray Lujan,63.38%,Jerald Steve McFall,31.21%,"244,893",32.17%
New Mexico's 2nd Congressional District,Xochitl Torres Small,50.93%,Yvette Herrell,49.07%,"199,256",1.87%
New Mexico's 1st Congressional District,Debra Haaland,59.13%,Janice Arnold-Jones,36.32%,"249,162",22.81%
New Jersey's 9th Congressional District,Bill Pascrell,70.27%,Eric Fisher,28.87%,"200,416",41.40%
New Jersey's 8th Congressional District,Albio Sires,78.12%,John Muniz,18.72%,"153,455",59.40%
New Jersey's 7th Congressional District,Tom Malinowski,51.74%,Leonard Lance,46.72%,"322,742",5.02%
New Jersey's 6th Congressional District,Frank Pallone,63.63%,Rich Pezzullo,36.37%,"221,195",27.27%
New Jersey's 5th Congressional District,Josh Gottheimer,56.17%,John McCann,42.49%,"301,823",13.68%
New Jersey's 4th Congressional District,Chris Smith,55.40%,Josh Welle,43.07%,"294,348",12.33%
New Jersey's 3rd Congressional District,Andrew Kim,50.01%,Tom MacArthur,48.72%,"306,875",1.29%
New Jersey's 2nd Congressional District,Jeff Van Drew,52.90%,Seth Grossman,45.23%,"258,363",7.67%
New Jersey's 1st Congressional District,Donald Norcross,64.39%,Paul Dilks,33.26%,"263,418",31.13%
New Jersey's 12th Congressional District,Bonnie Watson Coleman,68.68%,Daryl Kipnis,31.32%,"252,375",37.36%
New Jersey's 11th Congressional District,Mikie Sherrill,56.77%,Jay Webber,42.13%,"323,574",14.64%
New Jersey's 10th Congressional District,Donald Payne Jr.,87.56%,Agha Khan,10.09%,"200,159",77.47%
New Hampshire's 2nd Congressional District,Annie Kuster,55.54%,Steve Negron,42.18%,"279,705",13.36%
New Hampshire's 1st Congressional District,Chris Pappas,53.58%,Eddie Edwards,45.03%,"290,928",8.55%
Nevada's 4th Congressional District,Steven Horsford,51.93%,Cresent Hardy,43.75%,"234,868",8.18%
Nevada's 3rd Congressional District,Susie Lee,51.89%,Danny Tarkanian,42.83%,"286,168",9.06%
Nevada's 2nd Congressional District,Mark Amodei,58.23%,Clint Koble,41.77%,"287,537",16.46%
Nevada's 1st Congressional District,Dina Titus,66.17%,Joyce Bentley,30.87%,"152,201",35.30%
Nebraska's 3rd Congressional District,Adrian Smith,76.72%,Paul Theobald,23.28%,"213,304",53.44%
Nebraska's 2nd Congressional District,Don Bacon,51.00%,Kara Eastman,49.00%,"248,485",1.99%
Nebraska's 1st Congressional District,Jeffrey Fortenberry,60.36%,Jessica McClure,39.64%,"234,781",20.72%
Montana at-large,Greg Gianforte,50.88%,Kathleen Williams,46.25%,"504,421",4.63%
Missouri's 8th Congressional District,Jason Smith,73.39%,Kathy Ellis,25.02%,"264,399",48.37%
Missouri's 7th Congressional District,Billy Long,66.23%,Jamie Schoolcraft,30.09%,"296,455",36.14%
Missouri's 6th Congressional District,Sam Graves,65.42%,Henry Martin,31.98%,"305,409",33.44%
Missouri's 5th Congressional District,Emanuel Cleaver,61.67%,Jacob Turk,35.61%,"283,785",26.06%
Missouri's 4th Congressional District,Vicky Hartzler,64.82%,Renee Hoagenson,32.72%,"293,316",32.11%
Missouri's 3rd Congressional District,Blaine Luetkemeyer,65.08%,Katy Geppert,32.84%,"324,608",32.24%
Missouri's 2nd Congressional District,Ann Wagner,51.18%,Cort VanOstran,47.23%,"376,066",3.95%
Missouri's 1st Congressional District,William Lacy Clay,80.10%,Robert Vroman,16.72%,"274,375",63.39%
Mississippi's 4th Congressional District,Steven Palazzo,68.22%,Jeramey Anderson,30.75%,"223,732",37.48%
Mississippi's 3rd Congressional District,Michael Guest,62.30%,Michael Evans,36.72%,"257,271",25.59%
Mississippi's 2nd Congressional District,Bennie Thompson,71.79%,Troy Ray,21.73%,"221,379",50.06%
Mississippi's 1st Congressional District,Trent Kelly,66.91%,Randy Wadkins,32.39%,"236,521",34.52%
Minnesota's 8th Congressional District,Pete Stauber,50.72%,Joe Radinovich,45.18%,"314,211",5.54%
Minnesota's 7th Congressional District,Collin Peterson,52.10%,Dave Hughes,47.84%,"281,509",4.26%
Minnesota's 6th Congressional District,Tom Emmer,61.11%,Ian Todd,38.75%,"315,726",22.36%
Minnesota's 5th Congressional District,Ilhan Omar,77.97%,Jennifer Zielinski,21.68%,"343,358",56.29%
Minnesota's 4th Congressional District,Betty McCollum,65.99%,Greg Ryan,29.75%,"328,614",36.25%
Minnesota's 3rd Congressional District,Dean Phillips,55.61%,Erik Paulsen,44.19%,"363,949",11.42%
Minnesota's 2nd Congressional District,Angie Craig,52.66%,Jason Lewis,47.15%,"337,968",5.51%
Minnesota's 1st Congressional District,Jim Hagedorn,50.13%,Dan Feehan,49.68%,"291,661",0.45%
Michigan's 9th Congressional District,Andy Levin,59.67%,Candius Stearns,36.81%,"304,563",22.86%
Michigan's 8th Congressional District,Elissa Slotkin,50.61%,Michael Bishop,46.78%,"341,593",3.83%
Michigan's 7th Congressional District,Tim Walberg,53.80%,Gretchen Driskell,46.20%,"295,060",7.59%
Michigan's 6th Congressional District,Fred Upton,50.24%,Matt Longjohn,45.69%,"293,438",4.55%
Michigan's 5th Congressional District,Dan Kildee,59.51%,Travis Wines,35.91%,"276,413",23.60%
Michigan's 4th Congressional District,John Moolenaar,62.62%,Jerry Hilliard,37.38%,"285,050",25.25%
Michigan's 3rd Congressional District,Justin Amash,54.42%,Cathy Albro,43.18%,"310,740",11.24%
Michigan's 2nd Congressional District,Bill Huizenga,55.32%,Rob Davidson,42.97%,"305,463",12.35%
Michigan's 1st Congressional District,Jack Bergman,56.32%,Matthew Morgan,43.68%,"332,497",12.63%
Michigan's 14th Congressional District,Brenda Lawrence,80.88%,Marc Herschfus,17.32%,"264,994",63.56%
Michigan's 13th Congressional District,Rashida Tlaib,84.24%,Sam Johnson,11.30%,"196,299",72.93%
Michigan's 12th Congressional District,Debbie Dingell,68.08%,Jeff Jones,28.89%,"294,628",39.19%
Michigan's 11th Congressional District,Haley Stevens,51.84%,Lena Epstein,45.16%,"350,901",6.68%
Michigan's 10th Congressional District,Paul Mitchell,60.32%,Kimberly Bizon,35.00%,"303,064",25.32%
Massachusetts' 9th Congressional District,Bill Keating,59.38%,Peter Tedeschi,40.58%,"323,928",18.80%
Massachusetts' 8th Congressional District,Stephen Lynch,98.42%,Write-ins,1.58%,"263,307",96.85%
Massachusetts' 7th Congressional District,Ayanna Pressley,98.25%,Write-ins,1.75%,"220,411",96.50%
Massachusetts' 6th Congressional District,Seth Moulton,65.19%,Joseph Schneider,31.38%,"333,975",33.81%
Massachusetts' 5th Congressional District,Katherine Clark,75.88%,John Hugo,24.04%,"311,324",51.84%
Massachusetts' 4th Congressional District,Joseph Kennedy III,97.72%,Write-ins,2.28%,"251,016",95.44%
Massachusetts' 3rd Congressional District,Lori Trahan,62.00%,Rick Green,33.45%,"279,327",28.54%
Massachusetts' 2nd Congressional District,Jim McGovern,67.16%,Tracy Lovvorn,32.78%,"284,893",34.38%
Massachusetts' 1st Congressional District,Richard Neal,97.64%,Write-ins,2.36%,"216,900",95.29%
Maryland's 8th Congressional District,Jamie Raskin,68.17%,John Walsh,30.23%,"319,330",37.94%
Maryland's 7th Congressional District,Elijah Cummings,76.44%,Richmond Davis,21.26%,"264,710",55.18%
Maryland's 6th Congressional District,David Trone,58.95%,Amie Hoeber,37.97%,"277,084",20.98%
Maryland's 5th Congressional District,Steny Hoyer,70.28%,William Devine III,27.07%,"304,209",43.21%
Maryland's 4th Congressional District,Anthony Brown,78.05%,George McDermott,19.85%,"268,583",58.20%
Maryland's 3rd Congressional District,John Sarbanes,69.11%,Charles Anthony,28.26%,"292,880",40.85%
Maryland's 2nd Congressional District,Dutch Ruppersberger,66.01%,Elizabeth Matory,30.71%,"253,302",35.30%
Maryland's 1st Congressional District,Andrew Harris,59.98%,Jesse Colvin,38.09%,"306,186",21.89%
Maine's 2nd Congressional District,Jared Golden,50.62%,Bruce Poliquin,49.38%,"281,371",1.25%
Maine's 1st Congressional District,Chellie Pingree,58.82%,Mark Holbrook,32.51%,"342,053",26.31%
Louisiana's 6th Congressional District,Garret Graves,69.47%,Justin DeWitt,20.52%,"268,525",48.96%
Louisiana's 5th Congressional District,Ralph Abraham,66.54%,Jessee Carlton Fleenor,29.97%,"223,946",36.57%
Louisiana's 4th Congressional District,Mike Johnson,64.24%,Ryan Trundle,33.63%,"216,872",30.61%
Louisiana's 3rd Congressional District,Clay Higgins,55.65%,Mildred Methvin,17.78%,"245,943",37.87%
Louisiana's 2nd Congressional District,Cedric Richmond,80.59%,Jesse Schmidt,8.67%,"235,982",71.92%
Louisiana's 1st Congressional District,Steve Scalise,71.50%,Tammy Savoie,16.44%,"269,325",55.06%
Kentucky's 6th Congressional District,Andy Barr,51.00%,Amy McGrath,47.79%,"302,888",3.21%
Kentucky's 5th Congressional District,Hal Rogers,78.94%,Kenneth Stepp,21.05%,"218,017",57.89%
Kentucky's 4th Congressional District,Thomas Massie,62.24%,Seth Hall,34.58%,"261,812",27.66%
Kentucky's 3rd Congressional District,John Yarmuth,62.07%,Vickie Yates Glisson,36.57%,"278,720",25.50%
Kentucky's 2nd Congressional District,Brett Guthrie,66.72%,Hank Linderman,31.07%,"257,345",35.65%
Kentucky's 1st Congressional District,James Comer Jr.,68.59%,Paul Walker,31.41%,"251,016",37.18%
Kansas' 4th Congressional District,Ron Estes,59.44%,James Thompson,40.56%,"242,693",18.87%
Kansas' 3rd Congressional District,Sharice Davids,53.57%,Kevin Yoder,43.91%,"318,301",9.66%
Kansas' 2nd Congressional District,Steve Watkins,47.64%,Paul Davis,46.79%,"264,688",0.85%
Kansas' 1st Congressional District,Roger Marshall,68.15%,Alan LaPolice,31.85%,"224,640",36.29%
